strategy,date,signal_date,observations,assets,covariance_condition_number,minimum_eigenvalue,maximum_eigenvalue,covariance_rank,average_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation,minimum_expected_return,maximum_expected_return,expected_return_dispersion,optimization_status,objective_result,fallback_indicator
momentum_max_sharpe,2023-06-30,2023-05-31,251,5,34.780782067454545,0.02268594711753891,0.7890349826889196,5.0,0.6416689722774283,0.7963974840979481,0.463610197480144,0.0030944061753634955,1.0338578308842887,0.411531001501971,optimized,,False
momentum_max_sharpe,2023-07-31,2023-06-30,251,5,26.31951488305538,0.029397380701646693,0.7737247988998358,5.0,0.5150745875647001,0.7155924092701746,0.314438899869502,0.1668662178985989,1.8043118828918652,0.6812386530110007,optimized,,False
momentum_max_sharpe,2023-08-31,2023-07-31,251,5,18.613583875905345,0.03956583723349039,0.7364620299659919,5.0,0.49945974029153567,0.6990842352932685,0.31212642644760435,-0.10039460008061951,1.5846055083033832,0.7382189959752631,optimized,,False
momentum_max_sharpe,2023-09-29,2023-08-31,251,5,27.903939879622275,0.021247452673817068,0.592887642005311,5.0,0.45123555514110636,0.6136262511837132,0.2678823493317629,-0.06384950390070654,2.2880395294072025,0.9774002322435279,optimized,,False
momentum_max_sharpe,2023-10-31,2023-09-29,251,5,18.56748384711616,0.007898142843113397,0.1466486396617243,5.0,0.24574381523677485,0.8765794599074117,0.034692026405210116,0.005491157184431161,0.37139068567846323,0.15884614843104664,optimized,,False
momentum_max_sharpe,2023-11-30,2023-10-31,251,5,9.726243559689358,0.019655687192837553,0.19117600097060466,5.0,0.2023732669846106,0.6535979451672806,0.004537639174463552,-0.021167743576080644,0.47288719883774455,0.21113842859929455,optimized,,False
momentum_max_sharpe,2023-12-29,2023-11-30,251,5,7.452406194378145,0.027446477352410605,0.2045422978349643,5.0,0.20935499750990222,0.5407673540038237,-0.1271125907149664,0.024472279079069903,1.7813775932412987,0.7303202292961515,optimized,,False
momentum_max_sharpe,2024-01-31,2023-12-29,251,5,9.431373311114527,0.026458643774128928,0.24954134673960612,5.0,0.3302460725566619,0.581622176337244,0.08761654639871895,0.3163304406857592,1.9559756479525938,0.6538692008817308,optimized,,False
momentum_max_sharpe,2024-02-29,2024-01-31,251,5,13.890946122752727,0.02000757260212,0.2779241130631126,5.0,0.27292419966445347,0.408663574652373,0.14509422536664002,0.1196116711792663,2.165091294343377,0.9175054001728067,optimized,,False
momentum_max_sharpe,2024-03-28,2024-02-29,251,5,13.699250450452755,0.01950145307497486,0.26715528982183256,5.0,0.17875430076748244,0.43559108218672843,-0.08388526997224352,0.1804692811080746,2.5043589136058584,1.0222402024454602,optimized,,False
